project_name,module,concept,domain,sim_score
22_sedona,flink,,,
22_sedona,flink,,,
22_sedona,viz,,,
23_ctakes,ctakes-assertion,,,
23_ctakes,ctakes-chunker,,,
23_ctakes,ctakes-context-tokenizer,,,
23_ctakes,ctakes-core,,,
23_ctakes,ctakes-coreference,,,
23_ctakes,ctakes-dependency-parser,,,
23_ctakes,ctakes-dictionary-lookup-fast,,,
23_ctakes,ctakes-lvg,,,
23_ctakes,ctakes-ne-contexts,,,
23_ctakes,ctakes-pos-tagger,,,
23_ctakes,ctakes-preprocessor,,,
23_ctakes,ctakes-relation-extractor,,,
23_ctakes,ctakes-temporal,,,
23_ctakes,ctakes-utils,,,
23_ctakes,ctakes-ytex,,,
23_ctakes,ctakes-ytex-uima,,,
25_tinkerpop,gremlin-annotations,,,
25_tinkerpop,gremlin-archetype,,,
25_tinkerpop,gremlin-console,,,
25_tinkerpop,gremlin-core,,,
25_tinkerpop,gremlin-driver,,,
25_tinkerpop,gremlin-groovy,,,
25_tinkerpop,gremlin-language,,,
25_tinkerpop,gremlin-server,,,
26_karaf-decanter,alerting,,,
26_karaf-decanter,appender,,,
26_karaf-decanter,collector,,,
26_karaf-decanter,marshaller,,,
26_karaf-decanter,parser,,,
26_karaf-decanter,processor,,,
27_myfaces,extensions,,,
27_myfaces,extensions,,,
27_myfaces,impl,,,
28_hudi,hudi-aws,,,
28_hudi,hudi-cli,,,
28_hudi,hudi-client,,,
28_hudi,hudi-common,,,
28_hudi,hudi-flink-datasource,,,
28_hudi,hudi-gcp,,,
28_hudi,hudi-hadoop-mr,,,
28_hudi,hudi-kafka-connect,,,
28_hudi,hudi-platform-service,,,
28_hudi,hudi-spark-datasource,,,
28_hudi,hudi-sync,,,
28_hudi,hudi-timeline-service,,,
28_hudi,hudi-utilities,,,
29_inlong,inlong-agent,,,
29_inlong,inlong-audit,,,
29_inlong,inlong-common,,,
29_inlong,inlong-dataproxy,,,
29_inlong,inlong-manager,,,
29_inlong,inlong-sdk,,,
29_inlong,inlong-sort,,,
29_inlong,inlong-sort-standalone,,,
29_inlong,inlong-tubemq,,,
30_plc4x,plc4j,,,
30_plc4x,protocols,,,
32_freemarker-docgen,freemarker-docgen-core,,,
33_creadur-whisker,apache-whisker-app,,,
33_creadur-whisker,apache-whisker-cli,,,
33_creadur-whisker,apache-whisker-maven-plugin,,,
33_creadur-whisker,apache-whisker-model,,,
33_creadur-whisker,apache-whisker-velocity,,,
33_creadur-whisker,apache-whisker-xml,,,
36_jclouds-labs,abiquo,,,
36_jclouds-labs,aliyun-ecs,,,
36_jclouds-labs,cdmi,,,
36_jclouds-labs,cloudsigma2,,,
36_jclouds-labs,cloudsigma2-hnl,,,
36_jclouds-labs,cloudsigma2-lvs,,,
36_jclouds-labs,cloudsigma2-mia,,,
36_jclouds-labs,cloudsigma2-sjc,,,
36_jclouds-labs,cloudsigma2-wdc,,,
36_jclouds-labs,cloudsigma2-zrh,,,
36_jclouds-labs,dimensiondata,,,
36_jclouds-labs,joyent-cloudapi,,,
36_jclouds-labs,joyentcloud,,,
36_jclouds-labs,oneandone,,,
36_jclouds-labs,profitbricks-rest,,,
36_jclouds-labs,vagrant,,,
41_asterixdb-graph,asterix-graphix,,,
42_aries-typedevent,org.apache.aries.typedevent.bus,,,
42_aries-typedevent,org.apache.aries.typedevent.remote,,,
44_geronimo-metrics,geronimo-metrics,,,
44_geronimo-metrics,geronimo-metrics-common,,,
44_geronimo-metrics,geronimo-metrics-extensions,,,
45_archiva-components,expression-evaluator,,,
45_archiva-components,graph,,,
45_archiva-components,spring-apacheds,,,
45_archiva-components,spring-cache,,,
45_archiva-components,spring-quartz,,,
45_archiva-components,spring-registry,,,
45_archiva-components,spring-taskqueue,,,
