P3 Module,Code,Test,Doc
flink-formats,"['schema', 'object', 'avro', 'registry', 'serialization', 'deserialization', 'record', 'type', 'glue', 'stream', 'vector', 'row', 'converter', 'column', 'json', 'type', 'node', 'create', 'timestamp', 'read', 'row', 'format', 'option', 'config', 'schema', 'csv', 'create', 'json', 'mode', 'runtime', 'type', 'row', 'batch', 'reader', 'orc', 'schema', 'input', 'record', 'split', 'parquet', 'writer', 'output', 'factory', 'stream', 'write', 'bulk', 'hadoop', 'path', 'configuration', 'codec']","['row', 'schema', 'list', 'type', 'deserialization', 'read', 'path', 'random', 'orc', 'writer', 'schema', 'type', 'avro', 'deserialization', 'row', 'matcher', 'user', 'serialization', 'serializer', 'builder', 'schema', 'registry', 'glue', 'stream', 'map', 'object', 'mock', 'succeed', 'facade', 'user', 'record', 'read', 'generic', 'path', 'serializer', 'write', 'avro', 'codec', 'list', 'field', 'option', 'map', 'format', 'schema', 'deserialize', 'row', 'invalid', 'user', 'type', 'property']","['scala', 'intellij', 'project', 'support', 'use', 'java', 'processing', 'batch', 'maven', 'time', 'scala', 'support', 'intellij', 'java', 'processing', 'time', 'project', 'use', 'batch', 'ide', 'scala', 'intellij', 'support', 'project', 'java', 'maven', 'time', 'use', 'ide', 'processing', 'scala', 'intellij', 'support', 'use', 'java', 'maven', 'batch', 'time', 'processing', 'source', 'support', 'scala', 'java', 'use', 'project', 'intellij', 'time', 'ide', 'processing', 'open']"
flink-java,"['aggregator', 'value', 'group', 'summary', 'unwrap', 'tuple', 'combine', 'collector', 'plan', 'sum', 'type', 'format', 'input', 'csv', 'path', 'execution', 'output', 'environment', 'source', 'field', 'aggregate', 'function', 'value', 'aggregation', 'cross', 'integer', 'version', 'uid', 'serial', 'agg', 'operator', 'group', 'function', 'key', 'partition', 'field', 'order', 'input', 'sort', 'reduce', 'join', 'operator', 'type', 'field', 'project', 'key', 'resource', 'map', 'function', 'parameter']","['forward', 'type', 'field', 'invalid', 'non', 'map', 'function', 'read', 'annotation', 'binary', 'value', 'summary', 'type', 'cross', 'aggregator', 'element', 'result', 'summarize', 'compare', 'column', 'key', 'integer', 'type', 'custom', 'tuple', 'group', 'join', 'list', 'value', 'partition', 'input', 'format', 'output', 'field', 'read', 'pojo', 'record', 'stream', 'create', 'type', 'sampler', 'value', 'parameter', 'apply', 'verify', 'reservoir', 'type', 'source', 'size', 'fraction']","['scala', 'intellij', 'project', 'support', 'use', 'java', 'processing', 'batch', 'maven', 'time', 'scala', 'support', 'intellij', 'java', 'processing', 'time', 'project', 'use', 'batch', 'ide', 'scala', 'intellij', 'support', 'project', 'java', 'maven', 'time', 'use', 'ide', 'processing', 'scala', 'intellij', 'support', 'use', 'java', 'maven', 'batch', 'time', 'processing', 'source', 'support', 'scala', 'java', 'use', 'project', 'intellij', 'time', 'ide', 'processing', 'open']"
flink-kubernetes,"['cluster', 'configuration', 'kubernetes', 'session', 'duration', 'config', 'client', 'conf', 'key', 'prefix', 'kubernetes', 'leader', 'config', 'map', 'service', 'client', 'driver', 'election', 'kube', 'job', 'pod', 'kubernetes', 'config', 'manager', 'map', 'option', 'parameter', 'decorator', 'container', 'job', 'kubernetes', 'job', 'logger', 'resource', 'watch', 'handler', 'map', 'callback', 'service', 'checkpoint', 'factory', 'resource', 'kubernetes', 'manager', 'configuration', 'client', 'kube', 'worker', 'job', 'checkpoint']","['kubernetes', 'pod', 'conf', 'config', 'hadoop', 'job', 'list', 'decorator', 'map', 'manager', 'map', 'config', 'kubernetes', 'function', 'future', 'pod', 'completable', 'watch', 'create', 'resource', 'state', 'kubernetes', 'mock', 'server', 'handle', 'client', 'request', 'response', 'replace', 'map', 'kubernetes', 'cluster', 'client', 'leader', 'configuration', 'map', 'kube', 'logger', 'config', 'resource', 'pod', 'manager', 'kubernetes', 'task', 'service', 'template', 'container', 'config', 'port', 'setup']","['scala', 'intellij', 'project', 'support', 'use', 'java', 'processing', 'batch', 'maven', 'time', 'scala', 'support', 'intellij', 'java', 'processing', 'time', 'project', 'use', 'batch', 'ide', 'scala', 'intellij', 'support', 'project', 'java', 'maven', 'time', 'use', 'ide', 'processing', 'scala', 'intellij', 'support', 'use', 'java', 'maven', 'batch', 'time', 'processing', 'source', 'support', 'scala', 'java', 'use', 'project', 'intellij', 'time', 'ide', 'processing', 'open']"
flink-libraries,"['state', 'operator', 'event', 'nfa', 'input', 'context', 'time', 'condition', 'savepoint', 'version', 'vertex', 'edge', 'value', 'graph', 'result', 'degree', 'function', 'group', 'map', 'reduce', 'value', 'array', 'serializer', 'view', 'edge', 'vertex', 'type', 'share', 'count', 'buffer', 'key', 'window', 'reader', 'iterator', 'state', 'context', 'function', 'next', 'execution', 'message', 'value', 'array', 'parameter', 'key', 'comparator', 'type', 'function', 'pattern', 'reference', 'select']","['event', 'filter', 'value', 'version', 'uid', 'serial', 'time', 'follow', 'one', 'strict', 'vertex', 'graph', 'edge', 'function', 'empty', 'map', 'value', 'message', 'simple', 'degree', 'event', 'state', 'integer', 'nfa', 'operator', 'list', 'context', 'key', 'cep', 'neighbor', 'graph', 'edge', 'value', 'parameter', 'state', 'backend', 'mode', 'parallelism', 'function', 'window', 'value', 'array', 'serializer', 'type', 'create', 'matcher', 'comparator', 'upgrade', 'range', 'schema']","['scala', 'intellij', 'project', 'support', 'use', 'java', 'processing', 'batch', 'maven', 'time', 'scala', 'support', 'intellij', 'java', 'processing', 'time', 'project', 'use', 'batch', 'ide', 'scala', 'intellij', 'support', 'project', 'java', 'maven', 'time', 'use', 'ide', 'processing', 'scala', 'intellij', 'support', 'use', 'java', 'maven', 'batch', 'time', 'processing', 'source', 'support', 'scala', 'java', 'use', 'project', 'intellij', 'time', 'ide', 'processing', 'open']"
flink-metrics,"['reporter', 'metric', 'factory', 'property', 'histogram', 'meta', 'create', 'prometheus', 'dropwizard', 'info', 'metric', 'group', 'gauge', 'counter', 'bean', 'info', 'jmx', 'operator', 'meter', 'map', 'config', 'option', 'key', 'value', 'counter', 'callback', 'view', 'time', 'integer', 'logger', 'metric', 'map', 'list', 'group', 'logger', 'gauge', 'reporter', 'counter', 'value', 'config', 'meter', 'histogram', 'wrapper', 'statistic', 'dropwizard', 'value', 'rate', 'quantile', 'snapshot', 'mark']","['metric', 'group', 'scope', 'filter', 'character', 'function', 'builder', 'meter', 'add', 'logical', 'task', 'job', 'label', 'attempt', 'metric', 'add', 'unirest', 'manager', 'differ', 'vertex', 'reporter', 'metric', 'schedule', 'histogram', 'dropwizard', 'config', 'jmx', 'wrapper', 'report', 'invokable', 'metric', 'reporter', 'gauge', 'value', 'report', 'stat', 'json', 'prometheus', 'port', 'logger', 'count', 'info', 'value', 'histogram', 'counter', 'measurement', 'meter', 'size', 'logger', 'rate']","['scala', 'intellij', 'project', 'support', 'use', 'java', 'processing', 'batch', 'maven', 'time', 'scala', 'support', 'intellij', 'java', 'processing', 'time', 'project', 'use', 'batch', 'ide', 'scala', 'intellij', 'support', 'project', 'java', 'maven', 'time', 'use', 'ide', 'processing', 'scala', 'intellij', 'support', 'use', 'java', 'maven', 'batch', 'time', 'processing', 'source', 'support', 'scala', 'java', 'use', 'project', 'intellij', 'time', 'ide', 'processing', 'open']"
flink-optimizer,"['node', 'plan', 'iteration', 'solution', 'optimizer', 'workset', 'visitor', 'channel', 'cost', 'input', 'node', 'local', 'strategy', 'property', 'plan', 'mode', 'descriptor', 'list', 'connection', 'optimizer', 'property', 'local', 'operator', 'node', 'list', 'input', 'descriptor', 'single', 'possible', 'compute', 'strategy', 'join', 'hint', 'sort', 'local', 'outer', 'merge', 'descriptor', 'ship', 'field', 'field', 'property', 'order', 'partition', 'partitioning', 'partitioner', 'distribution', 'partitioned', 'ordering', 'visit']","['iteration', 'join', 'map', 'workset', 'solution', 'source', 'input', 'replicate', 'compiler', 'delta', 'partition', 'key', 'group', 'reduce', 'selector', 'custom', 'partitioner', 'integer', 'num', 'tuple', 'partitioning', 'reuse', 'operator', 'erase', 'property', 'single', 'node', 'input', 'join', 'integer', 'cost', 'estimate', 'value', 'map', 'integer', 'add', 'provider', 'function', 'join', 'uid', 'plan', 'node', 'union', 'compiler', 'source', 'object', 'pipeline', 'distinct', 'strategy', 'sink']","['scala', 'intellij', 'project', 'support', 'use', 'java', 'processing', 'batch', 'maven', 'time', 'scala', 'support', 'intellij', 'java', 'processing', 'time', 'project', 'use', 'batch', 'ide', 'scala', 'intellij', 'support', 'project', 'java', 'maven', 'time', 'use', 'ide', 'processing', 'scala', 'intellij', 'support', 'use', 'java', 'maven', 'batch', 'time', 'processing', 'source', 'support', 'scala', 'java', 'use', 'project', 'intellij', 'time', 'ide', 'processing', 'open']"
flink-python,"['type', 'row', 'function', 'input', 'info', 'coder', 'runner', 'output', 'descriptor', 'create', 'type', 'decimal', 'var', 'visit', 'state', 'array', 'map', 'date', 'serializer', 'binary', 'serializer', 'type', 'timer', 'time', 'window', 'row', 'view', 'snapshot', 'input', 'internal', 'python', 'function', 'stream', 'operator', 'row', 'object', 'process', 'config', 'key', 'info', 'vector', 'writer', 'row', 'arrow', 'array', 'column', 'option', 'value', 'field', 'tiny']","['arrow', 'row', 'type', 'source', 'function', 'list', 'create', 'serializer', 'timestamp', 'collect', 'function', 'bundle', 'python', 'job', 'runner', 'factory', 'table', 'stream', 'wrapper', 'array', 'python', 'environment', 'arrow', 'reader', 'writer', 'stream', 'option', 'create', 'prepare', 'expect', 'python', 'operator', 'function', 'type', 'row', 'aggregate', 'stream', 'bundle', 'output', 'finish', 'window', 'serializer', 'type', 'row', 'time', 'python', 'array', 'create', 'parse', 'timer']","['scala', 'intellij', 'project', 'support', 'use', 'java', 'processing', 'batch', 'maven', 'time', 'scala', 'support', 'intellij', 'java', 'processing', 'time', 'project', 'use', 'batch', 'ide', 'scala', 'intellij', 'support', 'project', 'java', 'maven', 'time', 'use', 'ide', 'processing', 'scala', 'intellij', 'support', 'use', 'java', 'maven', 'batch', 'time', 'processing', 'source', 'support', 'scala', 'java', 'use', 'project', 'intellij', 'time', 'ide', 'processing', 'open']"
flink-queryable-state,"['buf', 'message', 'buffer', 'serialize', 'request', 'capacity', 'state', 'composite', 'deserialize', 'list', 'namespace', 'type', 'serializer', 'view', 'snapshot', 'instance', 'input', 'source', 'copy', 'content', 'handler', 'buf', 'channel', 'context', 'ctx', 'chunk', 'client', 'read', 'message', 'resp', 'state', 'request', 'client', 'value', 'server', 'immutable', 'response', 'completable', 'future', 'map', 'request', 'future', 'req', 'resp', 'connection', 'completable', 'server', 'channel', 'message', 'body']","['channel', 'handler', 'server', 'read', 'group', 'nio', 'logger', 'state', 'ctx', 'context', 'message', 'state', 'location', 'client', 'server', 'request', 'proxy', 'oracle', 'future', 'completable', 'integer', 'state', 'value', 'uid', 'serial', 'version', 'key', 'job', 'client', 'executor', 'state', 'value', 'list', 'map', 'deserialize', 'key', 'reduce', 'serialization', 'update', 'descriptor', 'state', 'backend', 'server', 'num', 'namespace', 'port', 'cluster', 'queryable', 'range', 'mini']","['scala', 'intellij', 'project', 'support', 'use', 'java', 'processing', 'batch', 'maven', 'time', 'scala', 'support', 'intellij', 'java', 'processing', 'time', 'project', 'use', 'batch', 'ide', 'scala', 'intellij', 'support', 'project', 'java', 'maven', 'time', 'use', 'ide', 'processing', 'scala', 'intellij', 'support', 'use', 'java', 'maven', 'batch', 'time', 'processing', 'source', 'support', 'scala', 'java', 'use', 'project', 'intellij', 'time', 'ide', 'processing', 'open']"
flink-rpc,"['actor', 'rpc', 'thread', 'future', 'akka', 'executor', 'endpoint', 'ref', 'completable', 'supervisor', 'object', 'invocation', 'message', 'method', 'fence', 'token', 'fenced', 'payload', 'remote', 'serializable', 'system', 'actor', 'config', 'akka', 'address', 'url', 'remote', 'configuration', 'create', 'ssl', 'rpc', 'akka', 'message', 'service', 'throwable', 'cause', 'configuration', 'endpoint', 'loader', 'state', 'schedule', 'runnable', 'future', 'executor', 'time', 'unit', 'rpc', 'delay', 'callable', 'loader']","['actor', 'fail', 'loader', 'error', 'uncaught', 'context', 'handler', 'throwable', 'cause', 'system', 'actor', 'future', 'system', 'terminate', 'termination', 'configuration', 'throwable', 'fail', 'resource', 'exceptionally', 'rpc', 'akka', 'loader', 'service', 'future', 'context', 'host', 'completable', 'system', 'actor', 'cancel', 'invocation', 'count', 'future', 'integer', 'schedule', 'expect', 'adapter', 'do', 'time', 'rpc', 'endpoint', 'service', 'future', 'akka', 'completable', 'message', 'value', 'gateway', 'integer']","['scala', 'intellij', 'project', 'support', 'use', 'java', 'processing', 'batch', 'maven', 'time', 'scala', 'support', 'intellij', 'java', 'processing', 'time', 'project', 'use', 'batch', 'ide', 'scala', 'intellij', 'support', 'project', 'java', 'maven', 'time', 'use', 'ide', 'processing', 'scala', 'intellij', 'support', 'use', 'java', 'maven', 'batch', 'time', 'processing', 'source', 'support', 'scala', 'java', 'use', 'project', 'intellij', 'time', 'ide', 'processing', 'open']"
flink-runtime,"['job', 'slot', 'manager', 'resource', 'checkpoint', 'task', 'service', 'future', 'leader', 'completable', 'state', 'key', 'handle', 'operator', 'serializer', 'snapshot', 'stream', 'checkpoint', 'header', 'subtask', 'metric', 'memory', 'group', 'iterator', 'partition', 'task', 'size', 'resource', 'map', 'info', 'buffer', 'channel', 'segment', 'memory', 'input', 'event', 'record', 'num', 'view', 'read', 'job', 'execution', 'vertex', 'graph', 'task', 'parameter', 'path', 'result', 'partition', 'info']","['channel', 'input', 'task', 'record', 'buffer', 'config', 'split', 'list', 'gate', 'manager', 'job', 'future', 'task', 'manager', 'builder', 'metric', 'completable', 'graph', 'partition', 'request', 'buffer', 'type', 'memory', 'partition', 'pair', 'size', 'integer', 'serializer', 'record', 'release', 'state', 'checkpoint', 'execution', 'job', 'vertex', 'blob', 'create', 'operator', 'key', 'fail', 'slot', 'resource', 'manager', 'service', 'leader', 'task', 'testing', 'builder', 'future', 'allocation']","['scala', 'intellij', 'project', 'support', 'use', 'java', 'processing', 'batch', 'maven', 'time', 'scala', 'support', 'intellij', 'java', 'processing', 'time', 'project', 'use', 'batch', 'ide', 'scala', 'intellij', 'support', 'project', 'java', 'maven', 'time', 'use', 'ide', 'processing', 'scala', 'intellij', 'support', 'use', 'java', 'maven', 'batch', 'time', 'processing', 'source', 'support', 'scala', 'java', 'use', 'project', 'intellij', 'time', 'ide', 'processing', 'open']"
flink-runtime-web,"['jar', 'header', 'response', 'plan', 'request', 'body', 'http', 'handler', 'run', 'status', 'jar', 'field', 'list', 'info', 'entry', 'upload', 'address', 'file', 'hash', 'object', 'parameter', 'query', 'message', 'value', 'path', 'jar', 'convert', 'description', 'collection', 'savepoint', 'archive', 'server', 'job', 'web', 'history', 'logger', 'object', 'path', 'event', 'dir', 'handler', 'request', 'channel', 'program', 'context', 'http', 'jar', 'job', 'ctx', 'dir']","['parameter', 'jar', 'path', 'convert', 'query', 'restore', 'handler', 'state', 'allow', 'non', 'parameter', 'compatibility', 'routine', 'query', 'program', 'json', 'path', 'prog', 'via', 'configuration', 'list', 'handler', 'info', 'jar', 'response', 'leader', 'retrieval', 'gateway', 'logger', 'testing', 'jar', 'response', 'request', 'handler', 'http', 'body', 'run', 'upload', 'delete', 'logger', 'job', 'rest', 'api', 'json', 'configuration', 'cluster', 'object', 'snapshot', 'history', 'version']","['scala', 'intellij', 'project', 'support', 'use', 'java', 'processing', 'batch', 'maven', 'time', 'scala', 'support', 'intellij', 'java', 'processing', 'time', 'project', 'use', 'batch', 'ide', 'scala', 'intellij', 'support', 'project', 'java', 'maven', 'time', 'use', 'ide', 'processing', 'scala', 'intellij', 'support', 'use', 'java', 'maven', 'batch', 'time', 'processing', 'source', 'support', 'scala', 'java', 'use', 'project', 'intellij', 'time', 'ide', 'processing', 'open']"
flink-scala,"['output', 'delimiter', 'csv', 'path', 'format', 'scala', 'field', 'record', 'type', 'charset', 'aggregate', 'function', 'operator', 'aggregation', 'scala', 'field', 'list', 'group', 'type', 'serializer', 'registrar', 'kryo', 'chill', 'task', 'value', 'quote', 'wrt', 'writer', 'number', 'write', 'serializer', 'snapshot', 'scala', 'outer', 'either', 'nest', 'version', 'option', 'create', 'type', 'serializer', 'snapshot', 'outer', 'type', 'version', 'scala', 'traversable', 'compatibility', 'schema', 'config']","['option', 'serializer', 'upgrade', 'matcher', 'create', 'type', 'scala', 'specification', 'prior', 'collection', 'serializer', 'matcher', 'either', 'type', 'create', 'upgrade', 'option', 'scala', 'specification', 'integer', 'output', 'csv', 'kryo', 'format', 'scala', 'path', 'registration', 'serializer', 'integer', 'class', 'object', 'specify', 'upgrade', 'verifier', 'either', 'message', 'obj', 'specification', 'runtime', 'kryo', 'serializer', 'matcher', 'create', 'upgrade', 'scala', 'type', 'option', 'specification', 'compatibility', 'schema']","['scala', 'intellij', 'project', 'support', 'use', 'java', 'processing', 'batch', 'maven', 'time', 'scala', 'support', 'intellij', 'java', 'processing', 'time', 'project', 'use', 'batch', 'ide', 'scala', 'intellij', 'support', 'project', 'java', 'maven', 'time', 'use', 'ide', 'processing', 'scala', 'intellij', 'support', 'use', 'java', 'maven', 'batch', 'time', 'processing', 'source', 'support', 'scala', 'java', 'use', 'project', 'intellij', 'time', 'ide', 'processing', 'open']"
flink-state-backends,"['value', 'node', 'key', 'option', 'size', 'state', 'factory', 'config', 'next', 'entry', 'state', 'key', 'handle', 'restore', 'rock', 'snapshot', 'change', 'operation', 'group', 'changelog', 'state', 'rock', 'serializer', 'backend', 'key', 'type', 'queue', 'iterator', 'value', 'priority', 'option', 'rock', 'column', 'family', 'config', 'handle', 'write', 'monitor', 'metric', 'enable', 'memory', 'segment', 'offset', 'level', 'node', 'key', 'value', 'put', 'next', 'pointer']","['state', 'backend', 'config', 'sequence', 'number', 'changelog', 'rock', 'integer', 'loader', 'checkpoint', 'state', 'change', 'chunk', 'add', 'logger', 'value', 'element', 'size', 'queue', 'internal', 'key', 'serializer', 'state', 'list', 'namespace', 'snapshot', 'remove', 'map', 'skip', 'value', 'state', 'backend', 'key', 'rock', 'snapshot', 'create', 'value', 'space', 'map', 'storage', 'option', 'rock', 'column', 'family', 'create', 'resource', 'path', 'factory', 'write', 'config']","['scala', 'intellij', 'project', 'support', 'use', 'java', 'processing', 'batch', 'maven', 'time', 'scala', 'support', 'intellij', 'java', 'processing', 'time', 'project', 'use', 'batch', 'ide', 'scala', 'intellij', 'support', 'project', 'java', 'maven', 'time', 'use', 'ide', 'processing', 'scala', 'intellij', 'support', 'use', 'java', 'maven', 'batch', 'time', 'processing', 'source', 'support', 'scala', 'java', 'use', 'project', 'intellij', 'time', 'ide', 'processing', 'open']"
flink-streaming-java,"['stream', 'watermark', 'output', 'record', 'input', 'state', 'element', 'transformation', 'operator', 'status', 'checkpoint', 'channel', 'barrier', 'state', 'handler', 'uid', 'serial', 'version', 'info', 'subtask', 'stream', 'state', 'timer', 'checkpoint', 'serializer', 'time', 'service', 'context', 'key', 'internal', 'window', 'time', 'key', 'function', 'context', 'trigger', 'type', 'process', 'version', 'serial', 'operator', 'stream', 'input', 'output', 'bucket', 'source', 'single', 'mailbox', 'task', 'event']","['task', 'time', 'stream', 'checkpoint', 'state', 'operator', 'timer', 'mock', 'trigger', 'processing', 'serializer', 'sink', 'source', 'list', 'stream', 'create', 'integer', 'type', 'context', 'content', 'operator', 'stream', 'input', 'state', 'integer', 'source', 'element', 'record', 'context', 'function', 'input', 'channel', 'stream', 'buffer', 'gate', 'checkpoint', 'watermark', 'record', 'barrier', 'event', 'integer', 'value', 'window', 'time', 'process', 'function', 'version', 'uid', 'serial', 'key']","['scala', 'intellij', 'project', 'support', 'use', 'java', 'processing', 'batch', 'maven', 'time', 'scala', 'support', 'intellij', 'java', 'processing', 'time', 'project', 'use', 'batch', 'ide', 'scala', 'intellij', 'support', 'project', 'java', 'maven', 'time', 'use', 'ide', 'processing', 'scala', 'intellij', 'support', 'use', 'java', 'maven', 'batch', 'time', 'processing', 'source', 'support', 'scala', 'java', 'use', 'project', 'intellij', 'time', 'ide', 'processing', 'open']"
flink-streaming-scala,"['field', 'accessor', 'product', 'record', 'serializer', 'length', 'object', 'tuple', 'simple', 'serial', 'scala', 'record', 'value', 'uid', 'tuple', 'simple', 'serializer', 'serial', 'accessor', 'recursive', 'scala', 'record', 'value', 'uid', 'tuple', 'simple', 'serializer', 'serial', 'accessor', 'recursive', 'scala', 'record', 'value', 'uid', 'tuple', 'simple', 'serializer', 'serial', 'accessor', 'recursive', 'accessor', 'field', 'product', 'serializer', 'recursive', 'record', 'factory', 'version', 'value', 'create']","['factory', 'field', 'stateful', 'text', 'accessor', 'function', 'product', 'logger', 'write', 'load', 'field', 'scala', 'factory', 'product', 'logger', 'load', 'accessor', 'stateful', 'function', 'text', 'path', 'write', 'mode', 'millis', 'fail', 'delimiter', 'create', 'result', 'close', 'format', 'factory', 'field', 'stateful', 'text', 'accessor', 'function', 'product', 'logger', 'write', 'load', 'path', 'mode', 'write', 'stateful', 'program', 'function', 'text', 'create', 'result', 'close']","['scala', 'intellij', 'project', 'support', 'use', 'java', 'processing', 'batch', 'maven', 'time', 'scala', 'support', 'intellij', 'java', 'processing', 'time', 'project', 'use', 'batch', 'ide', 'scala', 'intellij', 'support', 'project', 'java', 'maven', 'time', 'use', 'ide', 'processing', 'scala', 'intellij', 'support', 'use', 'java', 'maven', 'batch', 'time', 'processing', 'source', 'support', 'scala', 'java', 'use', 'project', 'intellij', 'time', 'ide', 'processing', 'open']"
flink-table,"['type', 'segment', 'strategy', 'binary', 'function', 'memory', 'argument', 'logical', 'list', 'object', 'row', 'serializer', 'record', 'partition', 'input', 'view', 'map', 'key', 'operator', 'watermark', 'sql', 'expression', 'type', 'function', 'list', 'operator', 'agg', 'call', 'value', 'column', 'row', 'type', 'window', 'time', 'function', 'logical', 'timestamp', 'field', 'version', 'serial', 'table', 'node', 'rel', 'operation', 'exec', 'catalog', 'rex', 'call', 'field', 'stream']","['type', 'function', 'value', 'list', 'row', 'retract', 'binary', 'input', 'agg', 'object', 'row', 'window', 'time', 'type', 'key', 'join', 'operator', 'sql', 'loader', 'merge', 'function', 'result', 'list', 'session', 'row', 'type', 'accumulator', 'acc', 'count', 'scalar', 'table', 'catalog', 'create', 'option', 'source', 'factory', 'partition', 'json', 'sink', 'context', 'row', 'stream', 'watermark', 'buffer', 'record', 'table', 'random', 'input', 'time', 'list']","['scala', 'intellij', 'project', 'support', 'use', 'java', 'processing', 'batch', 'maven', 'time', 'scala', 'support', 'intellij', 'java', 'processing', 'time', 'project', 'use', 'batch', 'ide', 'scala', 'intellij', 'support', 'project', 'java', 'maven', 'time', 'use', 'ide', 'processing', 'scala', 'intellij', 'support', 'use', 'java', 'maven', 'batch', 'time', 'processing', 'source', 'support', 'scala', 'java', 'use', 'project', 'intellij', 'time', 'ide', 'processing', 'open']"
flink-yarn,"['resource', 'spec', 'priority', 'executor', 'task', 'process', 'worker', 'logger', 'yarn', 'local', 'yarn', 'option', 'configuration', 'application', 'property', 'command', 'log', 'line', 'logger', 'config', 'yarn', 'container', 'client', 'resource', 'config', 'manager', 'option', 'factory', 'node', 'keytab', 'yarn', 'application', 'path', 'cluster', 'client', 'list', 'ship', 'local', 'resource', 'file', 'configuration', 'cluster', 'yarn', 'executor', 'factory', 'application', 'job', 'retriever', 'session', 'package']","['container', 'complete', 'resource', 'status', 'configuration', 'create', 'cause', 'yarn', 'node', 'local', 'application', 'yarn', 'report', 'client', 'cluster', 'map', 'create', 'testing', 'file', 'descriptor', 'container', 'resource', 'client', 'runnable', 'consumer', 'method', 'handler', 'callback', 'yarn', 'amrm', 'yarn', 'property', 'configuration', 'memory', 'session', 'cli', 'application', 'invalid', 'instantiation', 'recursive', 'yarn', 'cluster', 'resource', 'configuration', 'executor', 'spec', 'client', 'task', 'process', 'descriptor']","['scala', 'intellij', 'project', 'support', 'use', 'java', 'processing', 'batch', 'maven', 'time', 'scala', 'support', 'intellij', 'java', 'processing', 'time', 'project', 'use', 'batch', 'ide', 'scala', 'intellij', 'support', 'project', 'java', 'maven', 'time', 'use', 'ide', 'processing', 'scala', 'intellij', 'support', 'use', 'java', 'maven', 'batch', 'time', 'processing', 'source', 'support', 'scala', 'java', 'use', 'project', 'intellij', 'time', 'ide', 'processing', 'open']"
